"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
ID-001,"Ada County",65.6,57,0.002,65.6
ID-003,"Adams County",56,55,-0.283,56.3
ID-005,"Bannock County",60,78,0.801,59.2
ID-007,"Bear Lake County",55.5,79,0.86,54.6
ID-009,"Benewah County",58,83,0.651,57.3
ID-011,"Bingham County",59.8,64,0.182,59.6
ID-013,"Blaine County",56.3,71,0.467,55.8
ID-015,"Boise County",55.8,61,-0.159,56
ID-017,"Bonner County",56.7,79,0.667,56
ID-019,"Bonneville County",56.7,68,0.329,56.4
ID-021,"Boundary County",54.2,80,0.639,53.6
ID-023,"Butte County",57.4,71,0.516,56.9
ID-025,"Camas County",55,83,1.275,53.7
ID-027,"Canyon County",65.9,52,-0.537,66.4
ID-029,"Caribou County",56.6,78,0.855,55.7
ID-031,"Cassia County",60.7,82,1.253,59.4
ID-033,"Clark County",55.9,75,0.95,55
ID-035,"Clearwater County",55.4,60,-0.422,55.8
